Feature,Score
R_VALUE,0.20608942167680822
SHRGT45,0.12195535641529726
TOTUSJH,0.11816578176186142
TOTBSQ,0.11816578176186142
TOTUSJZ,0.11816578176186142
SAVNCPP,0.11816578176186142
USFLUX,0.11816578176186142
TOTFZ,0.11816578176186142
MEANPOT,0.11816578176186142
EPSZ,0.11816578176186142
MEANGBT,0.11816578176186142
MEANGBH,0.11816578176186142
MEANJZH,0.11816578176186142
MEANJZD,0.11816578176186142
EPSY,0.11816578176186142
EPSX,0.11816578176186142
ABSNJZH,0.11816578176186099
MEANGBZ,0.11816578176186099
TOTPOT,0.11816578176186077
MEANSHR,0.11816578176186077
MEANGAM,0.11816578176186077
TOTFY,0.11816578176186077
MEANALP,0.11816578176186077
TOTFX,0.11816578176186077
