Feature,Score
TOTUSJH,1
SAVNCPP,2
TOTUSJZ,3
USFLUX,4
TOTFZ,5
MEANGBT,6
MEANJZH,7
TOTBSQ,8
MEANGBZ,9
MEANGAM,10
EPSZ,11
MEANSHR,12
MEANJZD,13
ABSNJZH,14
MEANGBH,15
SHRGT45,16
TOTPOT,17
MEANALP,18
R_VALUE,19
MEANPOT,20
TOTFY,21
EPSX,22
TOTFX,23
EPSY,24
