Feature,Score,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
TOTUSJH,1400.9217465535928,0.8041515387384867,0.0378081290040843,0.2259459264932597,0.0228333683562348
TOTBSQ,1237.4635416373694,0.7647677043467449,0.088049921835153,0.1776829465671772,0.027123466235004
ABSNJZH,1201.7176298960435,0.7106022641830517,0.0079994016145402,0.2572608149083815,0.03623474680716
SAVNCPP,1074.0433155267417,0.7651374130702225,0.0367396457352169,0.2382138116541007,0.0267715772552477
TOTUSJZ,1021.3349401954486,0.8003039538742652,0.0643702659673075,0.2287575381064624,0.0233197451496244
USFLUX,975.5294301932992,0.7934125803079256,0.0526350624512499,0.1799067807237759,0.0232995227498601
R_VALUE,852.3452925554756,0.801845341898463,0.037597828262759,0.1823944668363054,0.028257244844007
TOTPOT,722.9144357757984,-0.0003103394887177,0.0002726636861284,-0.0005937913972978,0.0005211427038382
SHRGT45,338.62611980952823,0.6439711522352898,0.0181638956892727,0.0909275197213683,0.0280874570934958
MEANPOT,155.88837297333762,3.1015263805408054e-05,3.776332820296643e-05,1.9358787568522477e-06,2.605878007194183e-06
EPSZ,135.88040450683934,0.6548884230062738,0.0119422199752796,0.090295579689675,0.0262393338313566
TOTFZ,128.8232166842065,0.7002509712408571,0.0479471858679491,0.1360966608759332,0.02772114341077
MEANGAM,101.66139981008044,0.6276578547196121,0.0160552741254028,0.0841517359309494,0.0264057060173354
MEANSHR,94.02775515604104,0.6596073463933164,0.0140637493717395,0.0909630288989106,0.0263380651201077
TOTFX,79.67475977876731,0.6754701337884876,0.0628583343295593,0.2166540796321482,0.0363855627457039
TOTFY,43.297511845360006,0.4892509396139453,0.1042568597050447,0.2343026616989968,0.0106499181295158
MEANGBT,30.213919083813032,0.5196558947235602,0.053419920942984,0.0562687239631792,0.0159481398456963
MEANGBZ,18.040477184130665,0.4410103918159685,0.0418785242695012,0.0403141252426889,0.013020097584086
EPSY,9.225429166983734,0.4321845936859128,0.0286136313833726,0.0337084317687509,0.0135263750324056
EPSX,8.504377989474621,0.6547982834013223,0.0496550300636017,0.0829209349559473,0.0176349654910034
MEANGBH,8.299061512826578,0.1428298352545621,0.0356522864320725,0.0128612572315061,0.004541653952101
MEANJZD,5.027140998244913,0.0369059934944372,0.0006215393271092,0.0017683868299277,0.0007816090187127
MEANJZH,1.2076577774126522,-0.1418541234620866,0.1172451068348352,-0.0084845945292787,0.0072132365007762
MEANALP,0.6184234550754255,0.0018742573665499,0.0233498282002572,-0.0026891044165568,0.0194309105018825
