NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,-0.00023350052236891647,0.0003055968670504161,-0.00044769410990735747,0.0005823858068941343
13,-0.00033381155605228006,0.00038778294198159644,-0.0006362808212129902,0.0007338102307512637
12,-0.0005607352413593776,0.0008982582480341234,-0.0010032308116371088,0.001579880678791304
11,0.17710769041987126,0.25929690677954764,0.04174190507021688,0.02173006361133372
10,0.2039690728272648,0.18867876468896488,0.07912861371626119,0.015339496113080662
9,0.3863011600834236,0.16073269498584145,0.08915261408436452,0.0401447685426848
8,0.2650124816325398,0.17851202446137662,0.09684086666522089,0.04624509017195056
7,0.24784599606377658,0.1852164855967887,0.09033016463332659,0.034808897092891235
6,0.2791171383706396,0.17999885122157228,0.10106759241311737,0.053383884065052276
5,0.31597284060686254,0.07574789184838134,0.16639801753167013,0.038462996671382074
4,0.34310112810010507,0.06851011650091103,0.17086657483974207,0.03424088542231108
3,0.41558100722707914,0.1258499631931229,0.17414358516017958,0.04317047219853809
2,0.7813415386112096,0.026427449419838003,0.21232518794475055,0.026068805332632346
1,0.7359999578229526,0.018285912150179443,0.23945643440455008,0.03094893338506835
