NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.8014265832357591,0.024366043748830973,0.2827824485773362,0.031847487030133355
23,0.80141483223882,0.024377757698683687,0.2827618334506663,0.03177131830222026
22,0.810146322431561,0.033399411783805386,0.2832335188347017,0.028968585389091663
21,0.8104348541509475,0.03357911390518923,0.2825754071561561,0.0288060985791397
20,0.8141392568030702,0.026662701486403925,0.28077439973435864,0.028831988718710306
19,0.8069716982990123,0.03424931286419393,0.2790180552248937,0.028813605654598784
18,0.8189815370887668,0.029762487946701322,0.2807207140725019,0.02578520883780297
17,0.8218377391034282,0.02736869636208385,0.27735398758671764,0.02462517501226249
16,0.8140287574348277,0.04726886732823968,0.2707225683689491,0.02415981607447578
15,0.811599117401497,0.0449816737889738,0.27565283050909484,0.0241391911457826
14,0.8220849611805688,0.04466558881580616,0.2677165569443803,0.02487572527963521
13,0.8211991223469176,0.04520468783365568,0.2667334399270773,0.02513800097234258
12,0.8191537159171552,0.0506261097613436,0.26833162648623765,0.024864422688012
11,0.8430864958976612,0.031238905351877143,0.26328073637567323,0.017444185698022172
10,0.8457507242913392,0.031765413149192824,0.2679249274872623,0.018091231882215068
9,0.8457678152797463,0.03176201176075499,0.2679661454313491,0.018078751772427758
8,0.8474520002126296,0.034903271401958764,0.26709774980833534,0.01732267898133552
7,0.8468287422702003,0.033984112478561715,0.26743856234459207,0.017670352539959615
6,0.8209825931237725,0.036473913310196074,0.2670558910039899,0.023069597370745695
5,0.8190621542303872,0.035338163856280365,0.26869384509753974,0.020735237909335826
4,0.8213327804750216,0.03226776054141173,0.27166591216839214,0.02134132895149971
3,0.82115120131248,0.03673116142212917,0.27337325939240736,0.020466229616268324
2,0.8183949242808626,0.04742233475809257,0.2361983407125725,0.01929392918277299
1,0.8159952152480269,0.04570571006225094,0.23039399120498227,0.02142394545901162
