NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.1477032903789255,0.2582366408958843,0.0053528583314931604,0.013695386001831372
14,0.15961343105267703,0.2630103537886189,0.021262355499841068,0.014821907087697891
13,0.15613900970377023,0.2355507806310498,0.0329192532280883,0.019360650732318362
12,0.0014295645021615776,0.004607260947033327,0.002775904062504596,0.008718585473414961
11,0.0030743748521923097,0.007662162754627797,0.005617220304641832,0.013772172216464503
10,0.02037736034523602,0.010176596219172407,0.03112080284952064,0.015848744279409334
9,0.0361578339539944,0.019038606557456986,0.05200627689332927,0.030637861983061135
8,0.18679876546227436,0.07023048802158698,0.14973070596162558,0.042060435884154
7,0.3820843340788777,0.05242655903839092,0.2113247258442844,0.027365212990537867
6,0.7794754569083314,0.08806581659802525,0.26088614635948393,0.038117235989590284
5,0.823383379372635,0.028970631819687592,0.2489357402809608,0.024936694864547394
4,0.8198297614520257,0.02628406306419152,0.2487875653873648,0.023463103896664048
3,0.8211811088287329,0.024888548305401277,0.25174860224042866,0.02360423496843456
2,0.8014906385392845,0.038469898126181915,0.1806662986252199,0.02804586209839052
1,0.002151739725876353,0.019890403394979,0.0020864114266695203,0.026891452075187842
