NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,-8.118596457044505e-06,1.4061821549749762e-05,-1.5682646148743533e-05,2.7163139926748184e-05
13,0.0003897574344261796,0.0007103330470121063,0.0007478421314270858,0.0013646892564288624
12,0.0008598470379298789,0.0015834579826095518,0.0016509910489655912,0.003044025320463403
11,0.3226344452187266,0.2750078642313684,0.03661654864948708,0.02629247547417808
10,0.17992504562924108,0.2702062516340478,0.044712846136887203,0.01685985119770266
9,0.3430213534442797,0.27979568637709573,0.047541407200540516,0.021953191983693367
8,0.185426361411296,0.2772086130142937,0.04806969917185653,0.02385206170765591
7,0.194631195294773,0.2648653009143901,0.05947522631410784,0.025836218743588508
6,0.27855338666111856,0.1784317622602287,0.10113042528983286,0.04268949398076745
5,0.2603582105120445,0.07463623387815951,0.11056976136382902,0.07668929570767771
4,0.4314123709938778,0.10350228834328161,0.17574511735534193,0.03787556313561989
3,0.42341917587852357,0.11737184433389518,0.12719978086056064,0.04912862692868642
2,0.7805258597767876,0.028635468201727323,0.21474663548382314,0.025732816673743022
1,0.7707965851601909,0.04652013295022514,0.2218030535086711,0.024520032273398724
