NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,-2.2430979874924856e-05,3.8851596806924834e-05,-4.4055427601980304e-05,7.630623895580218e-05
16,0.00013516886704371817,0.0003954384219756623,0.000258888576578339,0.0007629806311901467
15,9.650069425470426e-05,0.0003959263075694051,0.00018422802898215157,0.0007630295518063227
14,0.32834093518563195,0.23872691172794877,0.04990356485283986,0.009032942287741012
13,0.4904646094811027,0.016008278206851273,0.04423804123184461,0.014087304014555374
12,0.34171942783851433,0.254599045414174,0.044880602580865514,0.014207785853781676
11,0.5117440916748688,0.020278210731453288,0.05656180698957094,0.017728874231847408
10,0.5114186211435893,0.020130673226280465,0.055385726791084305,0.019908657977051294
9,0.3474365759365811,0.24683438380549708,0.05157882882672013,0.016320670201134625
8,0.24955944879639483,0.18262358149668367,0.09127963058630918,0.03662719303080788
7,0.24882151016465906,0.18430004469796224,0.09245460455173311,0.034259098047419646
6,0.38820482329466793,0.16026426273766475,0.08800691211774493,0.03641189891974361
5,0.298278227196698,0.16848136119150214,0.10801510170487592,0.04747586277574243
4,0.3385785861285531,0.06884681990845573,0.17038740578565112,0.03421689031804918
3,0.4165417600814553,0.12714896450836133,0.17432943733452008,0.04326603213427983
2,0.7819760334080166,0.0258925734076528,0.2131439289858604,0.026968900292988422
1,0.7731107848623643,0.037387371323567925,0.21799583045737947,0.024293855113838154
