NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,0.002267717036062678,0.0026215465628363246,0.0043549608362032375,0.005019141887379337
13,0.003835584868824255,0.004579933312447424,0.007328112060968364,0.008735636095132612
12,0.01952455750248155,0.02061144798490131,0.032736331106501454,0.0335504388836591
11,0.2886030478392188,0.2450070591711515,0.025958892136210426,0.017333864822624168
10,0.14724352914174121,0.22652191913074357,0.03136868978149832,0.01730258883991408
9,0.462202756941634,0.03481316278105852,0.03866088520648988,0.013389470174871057
8,0.15745625093011587,0.23050715705567593,0.03620305946796945,0.017433083569163735
7,0.15919689551036023,0.25057125855436047,0.03269707082433639,0.025805060379568794
6,0.04911308045585213,0.04791856984118423,0.06425608661059722,0.06660289464054815
5,0.11855334276458074,0.01798247537207063,0.12317249759887523,0.01718457482226141
4,0.1185765630453421,0.006935730912521361,0.12369750397435053,0.022711881990918812
3,0.3564352864559297,0.10493312771945928,0.20918811204904153,0.06357557495474372
2,0.5532748071911232,0.0788114557334122,0.21201354416918017,0.03924871193575243
1,0.8026094523504975,0.038260328038736635,0.18034671017071902,0.02795001869635579
