NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,-3.77835681463732e-05,5.4206892850440685e-05,-7.366021206212256e-05,0.00010543958032952923
13,0.0003675624592063989,0.001021741227435255,0.0006957708370309597,0.001945459218269146
12,-0.00043657514630773554,0.00043955501466309485,-0.0008274722228767834,0.0008291698976070821
11,-0.00020855112165564177,0.00156272122043631,-0.0003613374252847298,0.002884430602696366
10,-0.0001985430162708839,0.003737814178852586,-0.00012020209662285507,0.006339504521859282
9,-0.0010468153644819969,0.0037770512602120646,-0.0016104001654852114,0.00620801952466551
8,-0.00044070763070609784,0.004619433802100199,-0.0005911700449914729,0.007646352207616766
7,-0.001219479609842235,0.003768244002981948,-0.0019090503715788899,0.006147785511530225
6,-0.0011699142356070425,0.003793059046161751,-0.0018174609665213778,0.006192071196049014
5,-0.0010763797438070192,0.0036313184898125275,-0.0015983294791387917,0.005775647220876221
4,0.0504645161498574,0.01643174197877881,0.06088697062185128,0.027064409939798802
3,0.7273906596504652,0.03685590752054223,0.26124690869623907,0.022349449139836962
2,0.7473636906460891,0.033025792489417276,0.2207760929169448,0.025620959335270733
1,0.7714878581726108,0.04026191878534518,0.22138664223707405,0.027057219713028022
