NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,-1.997842330283294e-05,3.4603644215624673e-05,-3.895226628799045e-05,6.746730428075182e-05
14,0.432070962042451,0.0346582155560061,0.03286235936008847,0.010750602608584065
13,0.4959552704584136,0.045752579146519604,0.04259502518326621,0.013678229365410612
12,0.5051062289325877,0.022873765484292524,0.04485453504901594,0.015569871090761868
11,0.5119804417942492,0.029827454267193527,0.04594152077496675,0.013475427945040093
10,0.26392056792628366,0.19693064121135737,0.09287870032305978,0.03258110986328126
9,0.507120904981195,0.02384968918241684,0.05069252901826926,0.01812299629136591
8,0.37030011867947943,0.21684835620295356,0.0636447746727516,0.030539138106295015
7,0.35578995735480984,0.1934138894543004,0.06649930802983235,0.032140335737218306
6,0.3733074721091409,0.10954713445231568,0.13377104188780375,0.09114431137810017
5,0.35277549174093165,0.08366547122606482,0.18752106926445036,0.03463104909278078
4,0.3696595583390327,0.09118674776214582,0.18798294657474304,0.03822781136732437
3,0.44834458888264733,0.12395199352062433,0.1346816589043921,0.052808943777887286
2,0.7539235023008676,0.03468085649820737,0.2224391369921559,0.023771811465520546
1,0.8036688158687659,0.038508777328116785,0.18651665083101668,0.027698090270803957
