NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
12,-1.7805144843540265e-05,2.0329948732155105e-05,-3.4835134595428194e-05,3.964094758183864e-05
11,-1.3458587924954914e-05,2.33109580841549e-05,-2.648509980388185e-05,4.5873538503855866e-05
10,-8.509808446831485e-05,0.00011454627103746631,-0.00016546519506276084,0.0002225132420283016
9,0.0010217615971995359,0.0018218949455018321,0.001881160267701613,0.003359974177114975
8,-0.0002049312046827882,0.0007439339400099133,-0.0003662206216857499,0.001401635156741258
7,0.040710551196906204,0.030149609978412057,0.05422870124732978,0.043461961213876826
6,0.7431429456970188,0.03286015151270403,0.25479545933347486,0.03010776580404379
5,0.7968181933338135,0.0314474010123933,0.2608415797954407,0.01731805353340252
4,0.8141983821387798,0.03236838332467122,0.26022094970459186,0.02494891428547728
3,0.8082601655579144,0.041120318827748185,0.25087926781931696,0.029819626115548604
2,0.8029371869498075,0.0579177043864335,0.2272849098158544,0.02146558871163551
1,0.8008343292268618,0.06133037159197215,0.2274241543416067,0.021461095703194658
