Feature,Score
TOTUSJZ,0.034146341
MEANPOT,0.02811245
SAVNCPP,0.02734375
TOTBSQ,0.027027027
ABSNJZH,0.026923077
EPSX,0.026515152
R_VALUE,0.026315789
EPSY,0.025270758
MEANGBH,0.025
TOTFY,0.025
MEANGBT,0.024305556
TOTPOT,0.023333333
TOTFX,0.023026316
USFLUX,0.022653722
EPSZ,0.022508039
MEANALP,0.022292994
MEANJZD,0.021943574
TOTUSJH,0.021806854
MEANGAM,0.020648968
MEANGBZ,0.019390582
MEANJZH,0.019283747
TOTFZ,0.018229167
MEANSHR,0.018229167
SHRGT45,0.016908213
