Feature,Score
SAVNCPP,0.014285714285714287
EPSX,0.014285714285714287
TOTBSQ,0.011428571428571429
R_VALUE,0.011428571428571429
TOTFY,0.008571428571428572
TOTUSJZ,0.008571428571428572
TOTPOT,0.008571428571428572
MEANJZD,0.005714285714285714
MEANPOT,0.005714285714285714
ABSNJZH,0.005714285714285714
MEANGBT,0.005714285714285714
MEANGBH,0.005714285714285714
TOTUSJH,0.005714285714285714
EPSZ,0.005714285714285714
EPSY,0.005714285714285714
MEANGBZ,0.005714285714285714
TOTFX,0.002857142857142857
USFLUX,0.002857142857142857
MEANJZH,0.002857142857142857
MEANGAM,0.002857142857142857
MEANALP,0.002857142857142857
SHRGT45,0.0
TOTFZ,0.0
MEANSHR,0.0
