Feature,Score
ABSNJZH,0.035532995
SAVNCPP,0.031818182
R_VALUE,0.029045643
MEANJZH,0.028571429
MEANGBH,0.026315789
TOTBSQ,0.025925926
TOTUSJH,0.025641026
MEANALP,0.025547445
TOTPOT,0.024911032
TOTFX,0.023972603
EPSZ,0.023255814
TOTFZ,0.023178808
EPSY,0.02310231
MEANPOT,0.022580645
EPSX,0.022580645
TOTUSJZ,0.021406728
TOTFY,0.021084337
MEANJZD,0.020467836
MEANGBT,0.019662921
USFLUX,0.019662921
MEANGAM,0.019607843
SHRGT45,0.019021739
MEANGBZ,0.018918919
MEANSHR,0.016908213
