NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.2560774193490259,0.22329180278170535,0.017928537378777337,0.018309447660021707
16,0.35578560522432845,0.03125705272090565,0.024667060648400223,0.010888152003771311
15,0.3660451111589615,0.032783961186451986,0.025671677201567992,0.011012754405088027
14,0.12236621057441151,0.21564975094326091,0.010205706352487642,0.0241546187416662
13,0.27192973989314734,0.2377876156777793,0.018989674595116936,0.022767187523132577
12,0.28255939934893487,0.24813153171961272,0.024754655584710347,0.025666433365030123
11,0.3169640669182185,0.2784993990046585,0.026367487666615463,0.023458953307097376
10,0.34485985360101923,0.24456800243715132,0.048225852658138973,0.019344050678913028
9,0.4949016062208262,0.023883168771791384,0.04294713227349243,0.014884358388333055
8,0.7761081279700942,0.03655701186507955,0.27822491336946237,0.021365748908972623
7,0.7739422242934664,0.03075443407965697,0.27983093359036615,0.03108518934517772
6,0.7774592793788165,0.051553065389139695,0.2768247444207275,0.014532979694766012
5,0.7988209863103282,0.04667482186186048,0.26852953204168906,0.009248812551176428
4,0.8019422888696527,0.04440722607493318,0.26673193678588736,0.01019973874203514
3,0.8198253357924311,0.03598159950987707,0.2629044867625549,0.022121018767968112
2,0.780658488655131,0.028181541124664783,0.21102898969604902,0.027742104712685758
1,0.7191305672304251,0.003602163637294058,0.25462375758043115,0.0252270305386544
