NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,0.0012421508998636617,0.002335721266603761,0.002307396349162333,0.004343144185234588
13,0.002292677497070203,0.004192405116023231,0.004221757222683064,0.00774963141096505
12,0.0027865417644304465,0.005195490047729003,0.0050672745492104975,0.009480654297307453
11,0.020121239194945042,0.013810601708223604,0.030882886638573095,0.02176064310335479
10,0.03360458919729046,0.016889290186459655,0.04513145215342516,0.02371656292814776
9,0.7462123253381656,0.06409580414618142,0.25085456178487225,0.026431149227229195
8,0.7390254856341533,0.06293377211665233,0.25418320793360993,0.02493506804156816
7,0.7249867410223017,0.0628265847644411,0.2729999132119986,0.021719814484033335
6,0.7473199312888088,0.04971563822010848,0.26129034590408357,0.034111962856081056
5,0.7377581473692061,0.050883772800854314,0.2505937045402602,0.02869005749287472
4,0.7210290631605955,0.043956394965794426,0.2587987266556908,0.02551884316432684
3,0.6941749716727212,0.12421477198162835,0.18960109208160406,0.02547934856639585
2,0.7937899003201366,0.05468174392682595,0.18027082204645328,0.02056503539454963
1,0.03689616730699433,0.0006070029032377199,0.0017684626974754476,0.0007832480142298027
