NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
14,0.0023681616972999766,0.0028683244509077298,0.004558568583206431,0.005518857003348441
13,0.003395026168152939,0.004001111725454918,0.006511714290614277,0.00766519557075012
12,0.16082441824656882,0.2576760714690762,0.020504797755745596,0.008999461249130283
11,0.4351224975985608,0.009536795739219943,0.036962928604628735,0.01951870408958417
10,0.2927756791408834,0.2345823688464464,0.03858358037605166,0.009306820726102956
9,0.45592114829083347,0.00982280351331003,0.03730335072445521,0.016189884226237437
8,0.45630609229044444,0.00959349640623271,0.03737101418097851,0.016252754219363962
7,0.34823028529328326,0.24158896723243328,0.05728749186437752,0.039064719112234664
6,0.039145438764854976,0.028694901965668113,0.05246261718870152,0.0445316367965434
5,0.09947051366549119,0.01716828094144635,0.10995396689419862,0.022164792960814306
4,0.11692029892090396,0.02458830727302785,0.12226553977058657,0.028647811093273308
3,0.36684188558516934,0.07850347405732942,0.21085412382606428,0.05268474122415637
2,0.5948167414373974,0.039069716197178715,0.2130669148428973,0.031271011869490335
1,0.8046033943454236,0.03824715780727731,0.18753152513836038,0.028136541579843206
