NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
17,0.2401429663139896,0.20871313076252804,0.017189458556752142,0.019807928114727508
16,0.36306187780123533,0.022956390314675543,0.025560093994430672,0.011464589107548943
15,0.3897199132590428,0.03226573488496472,0.027874715280554452,0.009930315707504371
14,0.39479261330967796,0.010980456362049928,0.02910093007644894,0.012487009591567403
13,0.4199806890688403,0.021067325961758695,0.03176925749706318,0.012194620114586555
12,0.4414308438615948,0.03218244723178666,0.0344190033155145,0.01161988121389227
11,0.46892197943904584,0.035434497753710124,0.038204966719773636,0.012636047036018637
10,0.33337189229539715,0.23226542814162385,0.0573694772377732,0.01844151164856563
9,0.4162720764560355,0.17876835687246978,0.08737744171687767,0.07895584377959695
8,0.7916037044364052,0.04127161246405948,0.27511740089798903,0.0125545710751546
7,0.7873886950731165,0.03744040427414462,0.2752552320091661,0.013265690684740244
6,0.8068554054986642,0.03812100665721604,0.27099450243184625,0.013597680814892465
5,0.8082776722073212,0.03734048772769234,0.26952436731709234,0.014173612470031585
4,0.8119810895769287,0.04118833761403423,0.2712554619655719,0.015998507850068386
3,0.8125158957791984,0.03794812423872955,0.2696096111775042,0.022483487684025007
2,0.7815994541414449,0.028847330810409317,0.21669892774639807,0.02703839982560605
1,0.7359795769036083,0.01115496798611844,0.24430009087687124,0.033403531767569584
