NUM_FEATURES,MEAN_TSS,STD_TSS,MEAN_HSS,STD_HSS
24,0.8112597578298892,0.04430436358345837,0.2840029179060392,0.025519295546583807
23,0.8112122611905894,0.04227187023393621,0.27986847097028383,0.024598825612358606
22,0.8112041425941324,0.04227622981744342,0.2798518595203481,0.02457023319794089
21,0.8071304037544582,0.04526984952506683,0.2789609903178135,0.024311504630940808
20,0.8061055048869427,0.04801598246247177,0.27289268488388047,0.0230125603747766
19,0.8060971995256537,0.043859671907805604,0.271884737687818,0.022265930430925618
18,0.8052769216260806,0.04280984995634748,0.27264869379119144,0.023436355985815525
17,0.8061779500483578,0.04486034279642577,0.2720215342666447,0.022186231811114236
16,0.8040671636047865,0.0460192959557979,0.2682816050322782,0.022961648078168122
15,0.7891547592365772,0.07933900311114454,0.27164647479984605,0.03087971950536774
14,0.7917458970777732,0.0747347173981466,0.2723029798711569,0.027872593351320748
13,0.8103020590278883,0.04366417348012552,0.2773065270692175,0.022652877131534927
12,0.8112878571618846,0.051253080631211236,0.2680461892350372,0.021225879194206126
11,0.8116700482367597,0.05163045568857012,0.2687128349611057,0.02060547146209218
10,0.8369823898858932,0.03321719744488605,0.27926039360957317,0.016414108977807627
9,0.8398699420068386,0.030136180388381367,0.27864052975641623,0.016480369465148463
8,0.8398632825324043,0.030131262476879726,0.2786261879475478,0.01648731467921592
7,0.8410215518966154,0.029575097245446737,0.2816248542894664,0.01596249945033483
6,0.8350730647618567,0.025585440249783337,0.2692595946343615,0.021785983585236444
5,0.8342888159915521,0.024751560755343967,0.26930283874296673,0.02175446700803018
4,0.8365827435210846,0.025962860282723786,0.2701212615836168,0.02086544936282653
3,0.8263086845658915,0.042781056755844135,0.20956911307711765,0.02523124955358115
2,0.8205751992062519,0.04326621926962486,0.20123240692513655,0.025974193904125194
1,0.7971110934969864,0.03771960705366933,0.16653633214886585,0.027755552850149225
